Geography,Year,Gender,Age,Value
City of Melbourne,2020,Female,Age 0-4,2683
City of Melbourne,2021,Female,Age 0-4,2945
City of Melbourne,2022,Female,Age 0-4,3212
City of Melbourne,2023,Female,Age 0-4,3515
City of Melbourne,2024,Female,Age 0-4,3833
City of Melbourne,2025,Female,Age 0-4,4141
City of Melbourne,2026,Female,Age 0-4,4400
City of Melbourne,2027,Female,Age 0-4,4659
City of Melbourne,2028,Female,Age 0-4,4900
City of Melbourne,2029,Female,Age 0-4,5119
City of Melbourne,2030,Female,Age 0-4,5329
City of Melbourne,2031,Female,Age 0-4,5537
City of Melbourne,2032,Female,Age 0-4,5722
City of Melbourne,2033,Female,Age 0-4,5882
City of Melbourne,2034,Female,Age 0-4,6021
City of Melbourne,2035,Female,Age 0-4,6130
City of Melbourne,2036,Female,Age 0-4,6220
City of Melbourne,2037,Female,Age 0-4,6295
City of Melbourne,2038,Female,Age 0-4,6372
City of Melbourne,2039,Female,Age 0-4,6437
City of Melbourne,2040,Female,Age 0-4,6460
City of Melbourne,2020,Male,Age 0-4,2642
City of Melbourne,2021,Male,Age 0-4,2901
City of Melbourne,2022,Male,Age 0-4,3164
City of Melbourne,2023,Male,Age 0-4,3463
City of Melbourne,2024,Male,Age 0-4,3776
City of Melbourne,2025,Male,Age 0-4,4079
City of Melbourne,2026,Male,Age 0-4,4334
City of Melbourne,2027,Male,Age 0-4,4589
City of Melbourne,2028,Male,Age 0-4,4827
City of Melbourne,2029,Male,Age 0-4,5043
City of Melbourne,2030,Male,Age 0-4,5249
City of Melbourne,2031,Male,Age 0-4,5454
City of Melbourne,2032,Male,Age 0-4,5636
City of Melbourne,2033,Male,Age 0-4,5794
City of Melbourne,2034,Male,Age 0-4,5931
City of Melbourne,2035,Male,Age 0-4,6039
City of Melbourne,2036,Male,Age 0-4,6127
City of Melbourne,2037,Male,Age 0-4,6201
City of Melbourne,2038,Male,Age 0-4,6277
City of Melbourne,2039,Male,Age 0-4,6340
City of Melbourne,2040,Male,Age 0-4,6364
City of Melbourne,2020,Female,Age 5-9,1689
City of Melbourne,2021,Female,Age 5-9,1713
City of Melbourne,2022,Female,Age 5-9,1776
City of Melbourne,2023,Female,Age 5-9,1857
City of Melbourne,2024,Female,Age 5-9,1939
City of Melbourne,2025,Female,Age 5-9,2081
City of Melbourne,2026,Female,Age 5-9,2338
City of Melbourne,2027,Female,Age 5-9,2580
City of Melbourne,2028,Female,Age 5-9,2833
City of Melbourne,2029,Female,Age 5-9,3109
City of Melbourne,2030,Female,Age 5-9,3373
City of Melbourne,2031,Female,Age 5-9,3590
City of Melbourne,2032,Female,Age 5-9,3806
City of Melbourne,2033,Female,Age 5-9,4003
City of Melbourne,2034,Female,Age 5-9,4178
City of Melbourne,2035,Female,Age 5-9,4346
City of Melbourne,2036,Female,Age 5-9,4513
City of Melbourne,2037,Female,Age 5-9,4660
City of Melbourne,2038,Female,Age 5-9,4784
City of Melbourne,2039,Female,Age 5-9,4889
City of Melbourne,2040,Female,Age 5-9,4966
City of Melbourne,2020,Male,Age 5-9,1758
City of Melbourne,2021,Male,Age 5-9,1783
City of Melbourne,2022,Male,Age 5-9,1850
City of Melbourne,2023,Male,Age 5-9,1933
City of Melbourne,2024,Male,Age 5-9,2020
City of Melbourne,2025,Male,Age 5-9,2167
City of Melbourne,2026,Male,Age 5-9,2435
City of Melbourne,2027,Male,Age 5-9,2686
City of Melbourne,2028,Male,Age 5-9,2950
City of Melbourne,2029,Male,Age 5-9,3237
City of Melbourne,2030,Male,Age 5-9,3513
City of Melbourne,2031,Male,Age 5-9,3739
City of Melbourne,2032,Male,Age 5-9,3963
City of Melbourne,2033,Male,Age 5-9,4168
City of Melbourne,2034,Male,Age 5-9,4350
City of Melbourne,2035,Male,Age 5-9,4526
City of Melbourne,2036,Male,Age 5-9,4699
City of Melbourne,2037,Male,Age 5-9,4852
City of Melbourne,2038,Male,Age 5-9,4982
City of Melbourne,2039,Male,Age 5-9,5091
City of Melbourne,2040,Male,Age 5-9,5171
City of Melbourne,2020,Female,Age 10-14,1309
City of Melbourne,2021,Female,Age 10-14,1303
City of Melbourne,2022,Female,Age 10-14,1304
City of Melbourne,2023,Female,Age 10-14,1312
City of Melbourne,2024,Female,Age 10-14,1289
City of Melbourne,2025,Female,Age 10-14,1304
City of Melbourne,2026,Female,Age 10-14,1274
City of Melbourne,2027,Female,Age 10-14,1287
City of Melbourne,2028,Female,Age 10-14,1331
City of Melbourne,2029,Female,Age 10-14,1396
City of Melbourne,2030,Female,Age 10-14,1519
City of Melbourne,2031,Female,Age 10-14,1756
City of Melbourne,2032,Female,Age 10-14,1976
City of Melbourne,2033,Female,Age 10-14,2209
City of Melbourne,2034,Female,Age 10-14,2464
City of Melbourne,2035,Female,Age 10-14,2709
City of Melbourne,2036,Female,Age 10-14,2906
City of Melbourne,2037,Female,Age 10-14,3103
City of Melbourne,2038,Female,Age 10-14,3282
City of Melbourne,2039,Female,Age 10-14,3440
City of Melbourne,2040,Female,Age 10-14,3591
City of Melbourne,2020,Male,Age 10-14,1378
City of Melbourne,2021,Male,Age 10-14,1372
City of Melbourne,2022,Male,Age 10-14,1372
City of Melbourne,2023,Male,Age 10-14,1381
City of Melbourne,2024,Male,Age 10-14,1357
City of Melbourne,2025,Male,Age 10-14,1372
City of Melbourne,2026,Male,Age 10-14,1341
City of Melbourne,2027,Male,Age 10-14,1355
City of Melbourne,2028,Male,Age 10-14,1401
City of Melbourne,2029,Male,Age 10-14,1469
City of Melbourne,2030,Male,Age 10-14,1599
City of Melbourne,2031,Male,Age 10-14,1848
City of Melbourne,2032,Male,Age 10-14,2080
City of Melbourne,2033,Male,Age 10-14,2324
City of Melbourne,2034,Male,Age 10-14,2593
City of Melbourne,2035,Male,Age 10-14,2851
City of Melbourne,2036,Male,Age 10-14,3058
City of Melbourne,2037,Male,Age 10-14,3265
City of Melbourne,2038,Male,Age 10-14,3454
City of Melbourne,2039,Male,Age 10-14,3620
City of Melbourne,2040,Male,Age 10-14,3779
City of Melbourne,2020,Female,Age 15-19,6682
City of Melbourne,2021,Female,Age 15-19,4434
City of Melbourne,2022,Female,Age 15-19,4595
City of Melbourne,2023,Female,Age 15-19,5642
City of Melbourne,2024,Female,Age 15-19,6235
City of Melbourne,2025,Female,Age 15-19,6477
City of Melbourne,2026,Female,Age 15-19,6605
City of Melbourne,2027,Female,Age 15-19,6693
City of Melbourne,2028,Female,Age 15-19,6792
City of Melbourne,2029,Female,Age 15-19,6864
City of Melbourne,2030,Female,Age 15-19,6952
City of Melbourne,2031,Female,Age 15-19,6959
City of Melbourne,2032,Female,Age 15-19,7017
City of Melbourne,2033,Female,Age 15-19,7109
City of Melbourne,2034,Female,Age 15-19,7223
City of Melbourne,2035,Female,Age 15-19,7408
City of Melbourne,2036,Female,Age 15-19,7729
City of Melbourne,2037,Female,Age 15-19,8034
City of Melbourne,2038,Female,Age 15-19,8353
City of Melbourne,2039,Female,Age 15-19,8698
City of Melbourne,2040,Female,Age 15-19,9034
City of Melbourne,2020,Male,Age 15-19,4998
City of Melbourne,2021,Male,Age 15-19,3317
City of Melbourne,2022,Male,Age 15-19,3437
City of Melbourne,2023,Male,Age 15-19,4222
City of Melbourne,2024,Male,Age 15-19,4666
City of Melbourne,2025,Male,Age 15-19,4846
City of Melbourne,2026,Male,Age 15-19,4942
City of Melbourne,2027,Male,Age 15-19,5007
City of Melbourne,2028,Male,Age 15-19,5081
City of Melbourne,2029,Male,Age 15-19,5135
City of Melbourne,2030,Male,Age 15-19,5201
City of Melbourne,2031,Male,Age 15-19,5206
City of Melbourne,2032,Male,Age 15-19,5250
City of Melbourne,2033,Male,Age 15-19,5319
City of Melbourne,2034,Male,Age 15-19,5404
City of Melbourne,2035,Male,Age 15-19,5542
City of Melbourne,2036,Male,Age 15-19,5781
City of Melbourne,2037,Male,Age 15-19,6009
City of Melbourne,2038,Male,Age 15-19,6248
City of Melbourne,2039,Male,Age 15-19,6506
City of Melbourne,2040,Male,Age 15-19,6757
City of Melbourne,2020,Female,Age 20-24,21524
City of Melbourne,2021,Female,Age 20-24,20479
City of Melbourne,2022,Female,Age 20-24,20472
City of Melbourne,2023,Female,Age 20-24,20726
City of Melbourne,2024,Female,Age 20-24,20820
City of Melbourne,2025,Female,Age 20-24,20413
City of Melbourne,2026,Female,Age 20-24,20776
City of Melbourne,2027,Female,Age 20-24,21703
City of Melbourne,2028,Female,Age 20-24,23000
City of Melbourne,2029,Female,Age 20-24,23827
City of Melbourne,2030,Female,Age 20-24,24266
City of Melbourne,2031,Female,Age 20-24,24531
City of Melbourne,2032,Female,Age 20-24,24721
City of Melbourne,2033,Female,Age 20-24,24876
City of Melbourne,2034,Female,Age 20-24,24977
City of Melbourne,2035,Female,Age 20-24,25100
City of Melbourne,2036,Female,Age 20-24,25172
City of Melbourne,2037,Female,Age 20-24,25299
City of Melbourne,2038,Female,Age 20-24,25469
City of Melbourne,2039,Female,Age 20-24,25665
City of Melbourne,2040,Female,Age 20-24,25943
City of Melbourne,2020,Male,Age 20-24,17955
City of Melbourne,2021,Male,Age 20-24,17083
City of Melbourne,2022,Male,Age 20-24,17077
City of Melbourne,2023,Male,Age 20-24,17289
City of Melbourne,2024,Male,Age 20-24,17368
City of Melbourne,2025,Male,Age 20-24,17028
City of Melbourne,2026,Male,Age 20-24,17331
City of Melbourne,2027,Male,Age 20-24,18104
City of Melbourne,2028,Male,Age 20-24,19186
City of Melbourne,2029,Male,Age 20-24,19876
City of Melbourne,2030,Male,Age 20-24,20242
City of Melbourne,2031,Male,Age 20-24,20464
City of Melbourne,2032,Male,Age 20-24,20622
City of Melbourne,2033,Male,Age 20-24,20751
City of Melbourne,2034,Male,Age 20-24,20836
City of Melbourne,2035,Male,Age 20-24,20938
City of Melbourne,2036,Male,Age 20-24,20998
City of Melbourne,2037,Male,Age 20-24,21104
City of Melbourne,2038,Male,Age 20-24,21246
City of Melbourne,2039,Male,Age 20-24,21410
City of Melbourne,2040,Male,Age 20-24,21641
City of Melbourne,2020,Female,Age 25-29,17876
City of Melbourne,2021,Female,Age 25-29,18254
City of Melbourne,2022,Female,Age 25-29,19154
City of Melbourne,2023,Female,Age 25-29,19675
City of Melbourne,2024,Female,Age 25-29,20308
City of Melbourne,2025,Female,Age 25-29,21636
City of Melbourne,2026,Female,Age 25-29,22442
City of Melbourne,2027,Female,Age 25-29,22590
City of Melbourne,2028,Female,Age 25-29,22603
City of Melbourne,2029,Female,Age 25-29,22579
City of Melbourne,2030,Female,Age 25-29,22069
City of Melbourne,2031,Female,Age 25-29,22235
City of Melbourne,2032,Female,Age 25-29,22894
City of Melbourne,2033,Female,Age 25-29,23846
City of Melbourne,2034,Female,Age 25-29,24329
City of Melbourne,2035,Female,Age 25-29,24466
City of Melbourne,2036,Female,Age 25-29,24476
City of Melbourne,2037,Female,Age 25-29,24423
City of Melbourne,2038,Female,Age 25-29,24357
City of Melbourne,2039,Female,Age 25-29,24257
City of Melbourne,2040,Female,Age 25-29,24196
City of Melbourne,2020,Male,Age 25-29,17365
City of Melbourne,2021,Male,Age 25-29,17732
City of Melbourne,2022,Male,Age 25-29,18606
City of Melbourne,2023,Male,Age 25-29,19112
City of Melbourne,2024,Male,Age 25-29,19727
City of Melbourne,2025,Male,Age 25-29,21017
City of Melbourne,2026,Male,Age 25-29,21800
City of Melbourne,2027,Male,Age 25-29,21943
City of Melbourne,2028,Male,Age 25-29,21956
City of Melbourne,2029,Male,Age 25-29,21933
City of Melbourne,2030,Male,Age 25-29,21437
City of Melbourne,2031,Male,Age 25-29,21599
City of Melbourne,2032,Male,Age 25-29,22239
City of Melbourne,2033,Male,Age 25-29,23163
City of Melbourne,2034,Male,Age 25-29,23633
City of Melbourne,2035,Male,Age 25-29,23766
City of Melbourne,2036,Male,Age 25-29,23776
City of Melbourne,2037,Male,Age 25-29,23724
City of Melbourne,2038,Male,Age 25-29,23660
City of Melbourne,2039,Male,Age 25-29,23563
City of Melbourne,2040,Male,Age 25-29,23503
City of Melbourne,2020,Female,Age 30-34,12480
City of Melbourne,2021,Female,Age 30-34,12815
City of Melbourne,2022,Female,Age 30-34,13406
City of Melbourne,2023,Female,Age 30-34,14200
City of Melbourne,2024,Female,Age 30-34,14862
City of Melbourne,2025,Female,Age 30-34,15417
City of Melbourne,2026,Female,Age 30-34,16025
City of Melbourne,2027,Female,Age 30-34,16535
City of Melbourne,2028,Female,Age 30-34,16543
City of Melbourne,2029,Female,Age 30-34,16908
City of Melbourne,2030,Female,Age 30-34,17933
City of Melbourne,2031,Female,Age 30-34,18443
City of Melbourne,2032,Female,Age 30-34,18315
City of Melbourne,2033,Female,Age 30-34,18043
City of Melbourne,2034,Female,Age 30-34,17728
City of Melbourne,2035,Female,Age 30-34,16960
City of Melbourne,2036,Female,Age 30-34,16865
City of Melbourne,2037,Female,Age 30-34,17253
City of Melbourne,2038,Female,Age 30-34,17938
City of Melbourne,2039,Female,Age 30-34,18188
City of Melbourne,2040,Female,Age 30-34,18119
City of Melbourne,2020,Male,Age 30-34,13095
City of Melbourne,2021,Male,Age 30-34,13447
City of Melbourne,2022,Male,Age 30-34,14067
City of Melbourne,2023,Male,Age 30-34,14900
City of Melbourne,2024,Male,Age 30-34,15595
City of Melbourne,2025,Male,Age 30-34,16176
City of Melbourne,2026,Male,Age 30-34,16815
City of Melbourne,2027,Male,Age 30-34,17350
City of Melbourne,2028,Male,Age 30-34,17357
City of Melbourne,2029,Male,Age 30-34,17741
City of Melbourne,2030,Male,Age 30-34,18816
City of Melbourne,2031,Male,Age 30-34,19352
City of Melbourne,2032,Male,Age 30-34,19217
City of Melbourne,2033,Male,Age 30-34,18932
City of Melbourne,2034,Male,Age 30-34,18601
City of Melbourne,2035,Male,Age 30-34,17795
City of Melbourne,2036,Male,Age 30-34,17695
City of Melbourne,2037,Male,Age 30-34,18103
City of Melbourne,2038,Male,Age 30-34,18822
City of Melbourne,2039,Male,Age 30-34,19084
City of Melbourne,2040,Male,Age 30-34,19012
City of Melbourne,2020,Female,Age 35-39,6794
City of Melbourne,2021,Female,Age 35-39,7420
City of Melbourne,2022,Female,Age 35-39,8112
City of Melbourne,2023,Female,Age 35-39,8985
City of Melbourne,2024,Female,Age 35-39,9730
City of Melbourne,2025,Female,Age 35-39,10393
City of Melbourne,2026,Female,Age 35-39,10797
City of Melbourne,2027,Female,Age 35-39,11303
City of Melbourne,2028,Female,Age 35-39,11834
City of Melbourne,2029,Female,Age 35-39,12310
City of Melbourne,2030,Female,Age 35-39,12682
City of Melbourne,2031,Female,Age 35-39,13104
City of Melbourne,2032,Female,Age 35-39,13432
City of Melbourne,2033,Female,Age 35-39,13286
City of Melbourne,2034,Female,Age 35-39,13476
City of Melbourne,2035,Female,Age 35-39,14294
City of Melbourne,2036,Female,Age 35-39,14639
City of Melbourne,2037,Female,Age 35-39,14391
City of Melbourne,2038,Female,Age 35-39,14017
City of Melbourne,2039,Female,Age 35-39,13610
City of Melbourne,2040,Female,Age 35-39,12786
City of Melbourne,2020,Male,Age 35-39,7981
City of Melbourne,2021,Male,Age 35-39,8717
City of Melbourne,2022,Male,Age 35-39,9529
City of Melbourne,2023,Male,Age 35-39,10554
City of Melbourne,2024,Male,Age 35-39,11430
City of Melbourne,2025,Male,Age 35-39,12209
City of Melbourne,2026,Male,Age 35-39,12684
City of Melbourne,2027,Male,Age 35-39,13278
City of Melbourne,2028,Male,Age 35-39,13902
City of Melbourne,2029,Male,Age 35-39,14461
City of Melbourne,2030,Male,Age 35-39,14899
City of Melbourne,2031,Male,Age 35-39,15395
City of Melbourne,2032,Male,Age 35-39,15780
City of Melbourne,2033,Male,Age 35-39,15609
City of Melbourne,2034,Male,Age 35-39,15831
City of Melbourne,2035,Male,Age 35-39,16792
City of Melbourne,2036,Male,Age 35-39,17196
City of Melbourne,2037,Male,Age 35-39,16905
City of Melbourne,2038,Male,Age 35-39,16466
City of Melbourne,2039,Male,Age 35-39,15988
City of Melbourne,2040,Male,Age 35-39,15020
City of Melbourne,2020,Female,Age 40-44,4009
City of Melbourne,2021,Female,Age 40-44,4308
City of Melbourne,2022,Female,Age 40-44,4750
City of Melbourne,2023,Female,Age 40-44,5312
City of Melbourne,2024,Female,Age 40-44,6096
City of Melbourne,2025,Female,Age 40-44,6951
City of Melbourne,2026,Female,Age 40-44,7694
City of Melbourne,2027,Female,Age 40-44,8448
City of Melbourne,2028,Female,Age 40-44,9282
City of Melbourne,2029,Female,Age 40-44,10003
City of Melbourne,2030,Female,Age 40-44,10636
City of Melbourne,2031,Female,Age 40-44,11003
City of Melbourne,2032,Female,Age 40-44,11472
City of Melbourne,2033,Female,Age 40-44,11969
City of Melbourne,2034,Female,Age 40-44,12409
City of Melbourne,2035,Female,Age 40-44,12747
City of Melbourne,2036,Female,Age 40-44,13138
City of Melbourne,2037,Female,Age 40-44,13436
City of Melbourne,2038,Female,Age 40-44,13248
City of Melbourne,2039,Female,Age 40-44,13411
City of Melbourne,2040,Female,Age 40-44,14226
City of Melbourne,2020,Male,Age 40-44,4386
City of Melbourne,2021,Male,Age 40-44,4713
City of Melbourne,2022,Male,Age 40-44,5197
City of Melbourne,2023,Male,Age 40-44,5811
City of Melbourne,2024,Male,Age 40-44,6669
City of Melbourne,2025,Male,Age 40-44,7604
City of Melbourne,2026,Male,Age 40-44,8417
City of Melbourne,2027,Male,Age 40-44,9242
City of Melbourne,2028,Male,Age 40-44,10154
City of Melbourne,2029,Male,Age 40-44,10943
City of Melbourne,2030,Male,Age 40-44,11635
City of Melbourne,2031,Male,Age 40-44,12037
City of Melbourne,2032,Male,Age 40-44,12550
City of Melbourne,2033,Male,Age 40-44,13094
City of Melbourne,2034,Male,Age 40-44,13575
City of Melbourne,2035,Male,Age 40-44,13945
City of Melbourne,2036,Male,Age 40-44,14372
City of Melbourne,2037,Male,Age 40-44,14699
City of Melbourne,2038,Male,Age 40-44,14493
City of Melbourne,2039,Male,Age 40-44,14672
City of Melbourne,2040,Male,Age 40-44,15563
City of Melbourne,2020,Female,Age 45-49,3506
City of Melbourne,2021,Female,Age 45-49,3653
City of Melbourne,2022,Female,Age 45-49,3743
City of Melbourne,2023,Female,Age 45-49,3960
City of Melbourne,2024,Female,Age 45-49,4169
City of Melbourne,2025,Female,Age 45-49,4349
City of Melbourne,2026,Female,Age 45-49,4759
City of Melbourne,2027,Female,Age 45-49,5259
City of Melbourne,2028,Female,Age 45-49,5817
City of Melbourne,2029,Female,Age 45-49,6614
City of Melbourne,2030,Female,Age 45-49,7481
City of Melbourne,2031,Female,Age 45-49,8234
City of Melbourne,2032,Female,Age 45-49,8994
City of Melbourne,2033,Female,Age 45-49,9839
City of Melbourne,2034,Female,Age 45-49,10566
City of Melbourne,2035,Female,Age 45-49,11206
City of Melbourne,2036,Female,Age 45-49,11567
City of Melbourne,2037,Female,Age 45-49,12039
City of Melbourne,2038,Female,Age 45-49,12540
City of Melbourne,2039,Female,Age 45-49,12985
City of Melbourne,2040,Female,Age 45-49,13323
City of Melbourne,2020,Male,Age 45-49,3488
City of Melbourne,2021,Male,Age 45-49,3634
City of Melbourne,2022,Male,Age 45-49,3724
City of Melbourne,2023,Male,Age 45-49,3940
City of Melbourne,2024,Male,Age 45-49,4147
City of Melbourne,2025,Male,Age 45-49,4327
City of Melbourne,2026,Male,Age 45-49,4734
City of Melbourne,2027,Male,Age 45-49,5232
City of Melbourne,2028,Male,Age 45-49,5787
City of Melbourne,2029,Male,Age 45-49,6580
City of Melbourne,2030,Male,Age 45-49,7443
City of Melbourne,2031,Male,Age 45-49,8192
City of Melbourne,2032,Male,Age 45-49,8948
City of Melbourne,2033,Male,Age 45-49,9789
City of Melbourne,2034,Male,Age 45-49,10512
City of Melbourne,2035,Male,Age 45-49,11149
City of Melbourne,2036,Male,Age 45-49,11508
City of Melbourne,2037,Male,Age 45-49,11978
City of Melbourne,2038,Male,Age 45-49,12477
City of Melbourne,2039,Male,Age 45-49,12919
City of Melbourne,2040,Male,Age 45-49,13255
City of Melbourne,2020,Female,Age 50-54,3074
City of Melbourne,2021,Female,Age 50-54,3067
City of Melbourne,2022,Female,Age 50-54,3168
City of Melbourne,2023,Female,Age 50-54,3281
City of Melbourne,2024,Female,Age 50-54,3426
City of Melbourne,2025,Female,Age 50-54,3631
City of Melbourne,2026,Female,Age 50-54,3824
City of Melbourne,2027,Female,Age 50-54,3920
City of Melbourne,2028,Female,Age 50-54,4108
City of Melbourne,2029,Female,Age 50-54,4301
City of Melbourne,2030,Female,Age 50-54,4465
City of Melbourne,2031,Female,Age 50-54,4860
City of Melbourne,2032,Female,Age 50-54,5344
City of Melbourne,2033,Female,Age 50-54,5887
City of Melbourne,2034,Female,Age 50-54,6672
City of Melbourne,2035,Female,Age 50-54,7529
City of Melbourne,2036,Female,Age 50-54,8270
City of Melbourne,2037,Female,Age 50-54,9022
City of Melbourne,2038,Female,Age 50-54,9859
City of Melbourne,2039,Female,Age 50-54,10580
City of Melbourne,2040,Female,Age 50-54,11213
City of Melbourne,2020,Male,Age 50-54,2945
City of Melbourne,2021,Male,Age 50-54,2938
City of Melbourne,2022,Male,Age 50-54,3035
City of Melbourne,2023,Male,Age 50-54,3143
City of Melbourne,2024,Male,Age 50-54,3282
City of Melbourne,2025,Male,Age 50-54,3479
City of Melbourne,2026,Male,Age 50-54,3663
City of Melbourne,2027,Male,Age 50-54,3756
City of Melbourne,2028,Male,Age 50-54,3935
City of Melbourne,2029,Male,Age 50-54,4120
City of Melbourne,2030,Male,Age 50-54,4278
City of Melbourne,2031,Male,Age 50-54,4656
City of Melbourne,2032,Male,Age 50-54,5120
City of Melbourne,2033,Male,Age 50-54,5640
City of Melbourne,2034,Male,Age 50-54,6391
City of Melbourne,2035,Male,Age 50-54,7213
City of Melbourne,2036,Male,Age 50-54,7922
City of Melbourne,2037,Male,Age 50-54,8642
City of Melbourne,2038,Male,Age 50-54,9445
City of Melbourne,2039,Male,Age 50-54,10135
City of Melbourne,2040,Male,Age 50-54,10742
City of Melbourne,2020,Female,Age 55-59,3017
City of Melbourne,2021,Female,Age 55-59,2978
City of Melbourne,2022,Female,Age 55-59,3000
City of Melbourne,2023,Female,Age 55-59,3063
City of Melbourne,2024,Female,Age 55-59,3056
City of Melbourne,2025,Female,Age 55-59,3026
City of Melbourne,2026,Female,Age 55-59,3055
City of Melbourne,2027,Female,Age 55-59,3156
City of Melbourne,2028,Female,Age 55-59,3236
City of Melbourne,2029,Female,Age 55-59,3363
City of Melbourne,2030,Female,Age 55-59,3548
City of Melbourne,2031,Female,Age 55-59,3721
City of Melbourne,2032,Female,Age 55-59,3797
City of Melbourne,2033,Female,Age 55-59,3965
City of Melbourne,2034,Female,Age 55-59,4137
City of Melbourne,2035,Female,Age 55-59,4283
City of Melbourne,2036,Female,Age 55-59,4654
City of Melbourne,2037,Female,Age 55-59,5115
City of Melbourne,2038,Female,Age 55-59,5633
City of Melbourne,2039,Female,Age 55-59,6389
City of Melbourne,2040,Female,Age 55-59,7215
City of Melbourne,2020,Male,Age 55-59,2929
City of Melbourne,2021,Male,Age 55-59,2891
City of Melbourne,2022,Male,Age 55-59,2912
City of Melbourne,2023,Male,Age 55-59,2973
City of Melbourne,2024,Male,Age 55-59,2967
City of Melbourne,2025,Male,Age 55-59,2937
City of Melbourne,2026,Male,Age 55-59,2965
City of Melbourne,2027,Male,Age 55-59,3063
City of Melbourne,2028,Male,Age 55-59,3141
City of Melbourne,2029,Male,Age 55-59,3265
City of Melbourne,2030,Male,Age 55-59,3444
City of Melbourne,2031,Male,Age 55-59,3611
City of Melbourne,2032,Male,Age 55-59,3686
City of Melbourne,2033,Male,Age 55-59,3848
City of Melbourne,2034,Male,Age 55-59,4015
City of Melbourne,2035,Male,Age 55-59,4157
City of Melbourne,2036,Male,Age 55-59,4517
City of Melbourne,2037,Male,Age 55-59,4965
City of Melbourne,2038,Male,Age 55-59,5468
City of Melbourne,2039,Male,Age 55-59,6201
City of Melbourne,2040,Male,Age 55-59,7003
City of Melbourne,2020,Female,Age 60-64,2628
City of Melbourne,2021,Female,Age 60-64,2709
City of Melbourne,2022,Female,Age 60-64,2725
City of Melbourne,2023,Female,Age 60-64,2718
City of Melbourne,2024,Female,Age 60-64,2666
City of Melbourne,2025,Female,Age 60-64,2739
City of Melbourne,2026,Female,Age 60-64,2687
City of Melbourne,2027,Female,Age 60-64,2682
City of Melbourne,2028,Female,Age 60-64,2709
City of Melbourne,2029,Female,Age 60-64,2684
City of Melbourne,2030,Female,Age 60-64,2637
City of Melbourne,2031,Female,Age 60-64,2648
City of Melbourne,2032,Female,Age 60-64,2729
City of Melbourne,2033,Female,Age 60-64,2790
City of Melbourne,2034,Female,Age 60-64,2897
City of Melbourne,2035,Female,Age 60-64,3062
City of Melbourne,2036,Female,Age 60-64,3215
City of Melbourne,2037,Female,Age 60-64,3275
City of Melbourne,2038,Female,Age 60-64,3425
City of Melbourne,2039,Female,Age 60-64,3580
City of Melbourne,2040,Female,Age 60-64,3710
City of Melbourne,2020,Male,Age 60-64,2515
City of Melbourne,2021,Male,Age 60-64,2593
City of Melbourne,2022,Male,Age 60-64,2608
City of Melbourne,2023,Male,Age 60-64,2601
City of Melbourne,2024,Male,Age 60-64,2551
City of Melbourne,2025,Male,Age 60-64,2621
City of Melbourne,2026,Male,Age 60-64,2571
City of Melbourne,2027,Male,Age 60-64,2567
City of Melbourne,2028,Male,Age 60-64,2592
City of Melbourne,2029,Male,Age 60-64,2569
City of Melbourne,2030,Male,Age 60-64,2524
City of Melbourne,2031,Male,Age 60-64,2534
City of Melbourne,2032,Male,Age 60-64,2612
City of Melbourne,2033,Male,Age 60-64,2670
City of Melbourne,2034,Male,Age 60-64,2772
City of Melbourne,2035,Male,Age 60-64,2931
City of Melbourne,2036,Male,Age 60-64,3076
City of Melbourne,2037,Male,Age 60-64,3134
City of Melbourne,2038,Male,Age 60-64,3278
City of Melbourne,2039,Male,Age 60-64,3426
City of Melbourne,2040,Male,Age 60-64,3550
City of Melbourne,2020,Female,Age 65-69,2210
City of Melbourne,2021,Female,Age 65-69,2219
City of Melbourne,2022,Female,Age 65-69,2316
City of Melbourne,2023,Female,Age 65-69,2420
City of Melbourne,2024,Female,Age 65-69,2499
City of Melbourne,2025,Female,Age 65-69,2486
City of Melbourne,2026,Female,Age 65-69,2548
City of Melbourne,2027,Female,Age 65-69,2544
City of Melbourne,2028,Female,Age 65-69,2514
City of Melbourne,2029,Female,Age 65-69,2457
City of Melbourne,2030,Female,Age 65-69,2518
City of Melbourne,2031,Female,Age 65-69,2461
City of Melbourne,2032,Female,Age 65-69,2448
City of Melbourne,2033,Female,Age 65-69,2465
City of Melbourne,2034,Female,Age 65-69,2433
City of Melbourne,2035,Female,Age 65-69,2383
City of Melbourne,2036,Female,Age 65-69,2386
City of Melbourne,2037,Female,Age 65-69,2458
City of Melbourne,2038,Female,Age 65-69,2511
City of Melbourne,2039,Female,Age 65-69,2605
City of Melbourne,2040,Female,Age 65-69,2758
City of Melbourne,2020,Male,Age 65-69,2156
City of Melbourne,2021,Male,Age 65-69,2166
City of Melbourne,2022,Male,Age 65-69,2260
City of Melbourne,2023,Male,Age 65-69,2361
City of Melbourne,2024,Male,Age 65-69,2439
City of Melbourne,2025,Male,Age 65-69,2426
City of Melbourne,2026,Male,Age 65-69,2487
City of Melbourne,2027,Male,Age 65-69,2483
City of Melbourne,2028,Male,Age 65-69,2453
City of Melbourne,2029,Male,Age 65-69,2397
City of Melbourne,2030,Male,Age 65-69,2457
City of Melbourne,2031,Male,Age 65-69,2401
City of Melbourne,2032,Male,Age 65-69,2389
City of Melbourne,2033,Male,Age 65-69,2405
City of Melbourne,2034,Male,Age 65-69,2374
