Geography,Suburb,Gender,Age,Value,,
North Melbourne,NORTH MELBOURNE,Male,35-44 years,1163,,
North Melbourne,NORTH MELBOURNE,Male,45-54 years,691,,
North Melbourne,NORTH MELBOURNE,Male,55-64 years,540,,
North Melbourne,NORTH MELBOURNE,Male,65-74 years,389,,
North Melbourne,NORTH MELBOURNE,Male,75-84 years,161,,
North Melbourne,NORTH MELBOURNE,Male,85 years and over,47,,
North Melbourne,NORTH MELBOURNE,Female,0-4 years,274,,
North Melbourne,NORTH MELBOURNE,Female,5-14 years,575,,
North Melbourne,NORTH MELBOURNE,Female,15-19 years,361,,
North Melbourne,NORTH MELBOURNE,Female,20-24 years,1118,,
North Melbourne,NORTH MELBOURNE,Female,25-34 years,2165,,
North Melbourne,NORTH MELBOURNE,Female,35-44 years,1192,,
North Melbourne,NORTH MELBOURNE,Female,45-54 years,781,,
North Melbourne,NORTH MELBOURNE,Female,55-64 years,569,,
North Melbourne,NORTH MELBOURNE,Female,65-74 years,385,,
North Melbourne,NORTH MELBOURNE,Female,75-84 years,169,,
North Melbourne,NORTH MELBOURNE,Female,85 years and over,71,,
Parkville,PARKVILLE,Male,0-4 years,99,,
Parkville,PARKVILLE,Male,5-14 years,153,,
Parkville,PARKVILLE,Male,15-19 years,468,,
Parkville,PARKVILLE,Male,20-24 years,712,,
Parkville,PARKVILLE,Male,25-34 years,863,,
Parkville,PARKVILLE,Male,35-44 years,394,,
Parkville,PARKVILLE,Male,45-54 years,205,,
Parkville,PARKVILLE,Male,55-64 years,178,,
Parkville,PARKVILLE,Male,65-74 years,151,,
Parkville,PARKVILLE,Male,75-84 years,104,,
Parkville,PARKVILLE,Male,85 years and over,37,,
Parkville,PARKVILLE,Female,0-4 years,72,,
Parkville,PARKVILLE,Female,5-14 years,135,,
Parkville,PARKVILLE,Female,15-19 years,767,,
Parkville,PARKVILLE,Female,20-24 years,805,,
Parkville,PARKVILLE,Female,25-34 years,787,,
Parkville,PARKVILLE,Female,35-44 years,324,,
Parkville,PARKVILLE,Female,45-54 years,211,,
Parkville,PARKVILLE,Female,55-64 years,188,,
Parkville,PARKVILLE,Female,65-74 years,167,,
Parkville,PARKVILLE,Female,75-84 years,122,,
Parkville,PARKVILLE,Female,85 years and over,111,,
Port Melbourne,PORT MELBOURNE,Male,0-4 years,412,,
Port Melbourne,PORT MELBOURNE,Male,5-14 years,792,,
Port Melbourne,PORT MELBOURNE,Male,15-19 years,361,,
Port Melbourne,PORT MELBOURNE,Male,20-24 years,337,,
Port Melbourne,PORT MELBOURNE,Male,25-34 years,1295,,
Port Melbourne,PORT MELBOURNE,Male,35-44 years,1455,,
Port Melbourne,PORT MELBOURNE,Male,45-54 years,1391,,
Port Melbourne,PORT MELBOURNE,Male,55-64 years,1084,,
Port Melbourne,PORT MELBOURNE,Male,65-74 years,772,,
Port Melbourne,PORT MELBOURNE,Male,75-84 years,427,,
